Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4.7u,C23733
"C10, C12, C13, C4, C5, C6, C7, C8",0402,8,100n,C307331
C11,0402,1,220p,C1530
"C2, C3, C9",0402,3,1u,C52923
D1,SOT-143,1,PRTR5V0U2X,C2827688
F1,0603,1,500mA,C720073
"H1, H12, H13, H14, H15, H16, H17, H2, H4, H5, H6, H7, H8",HOLE_M2_RF,13,Black_Screws,
"H10, H11, H9",HOLE_M2_RF,3,Silver_Screws,
H3,MountingHole_2.2mm_M2_Pad,1,Plate_Shield,
"R1, R2, R4, R5",0402,4,100,C25076
"R10, R11, R12, R13, R14, R3, R9",0402,7,100k,C25741
R15,0402,1,47k,C25792
R16,0402,1,1k,C11702
R17,0402,1,330,C25104
"R18, R19",0402,2,5.1k,C25905
"R6, R7, R8",0402,3,10k,C25744
SW1,PinHeader_1x02_P2.00mm_Vertical,1,BOOT0,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW3, SW4, SW5, SW6, SW7, SW8, SW9",ecs_pad_1U_no_ring_autorouter,27,EC_SW,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F401CBUx,C118825
U2,SOT-23,1,XC6206PxxxMR,C5446
U3,TSSOP16,1,74HC4051,C5645
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA350,C13388
USB1,HRO-TYPE-C-31-M-12-HandSoldering,1,TYPEC-304YSSW-ACP16-Assembly,C2840392
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,8 MHz,C907975
