Designator,Mid X,Mid Y,Rotation,Layer
C1,77.50375,-91.1825,0.0,top
C10,26.70375,-91.1487,180.0,top
C11,36.52375,-88.0487,0.0,top
C12,52.00375,-87.1825,270.0,top
C13,117.30375,-87.9825,180.0,top
C2,98.70375,-88.1825,270.0,top
C3,86.82375,-83.1825,0.0,top
C4,70.30375,-79.4625,90.0,top
C5,80.70375,-91.1825,0.0,top
C6,86.82375,-84.1825,0.0,top
C7,72.00375,-79.4425,90.0,top
C8,60.82375,-87.9825,180.0,top
C9,60.82375,-89.4825,180.0,top
D1,104.15375,-88.9158,270.0,top
F1,95.70375,-88.7825,270.0,top
H1,10.60375,-35.3825,0.0,top
H10,86.70375,-59.8825,0.0,top
H11,124.80375,-53.6825,0.0,top
H12,29.60375,-25.2825,0.0,top
H13,29.60375,-63.3825,0.0,top
H14,67.70375,-20.0825,0.0,top
H15,67.70375,-39.1825,0.0,top
H16,67.70375,-58.2825,0.0,top
H17,105.80375,-26.9825,0.0,top
H2,105.80375,-65.0825,0.0,top
H4,48.70375,-22.3825,0.0,top
H5,86.70375,-21.7825,0.0,top
H6,124.80375,-34.5825,0.0,top
H7,10.60375,-73.4825,0.0,top
H8,10.60375,-54.4825,0.0,top
H9,48.70375,-60.4825,0.0,top
R1,80.70375,-85.7825,180.0,top
R10,22.50375,-88.1821,180.0,top
R11,22.50375,-90.1487,180.0,top
R12,22.50375,-84.2487,180.0,top
R13,32.60375,-91.1487,0.0,top
R14,29.60375,-91.1487,180.0,top
R15,46.40375,-83.8825,180.0,top
R16,43.40375,-83.8825,180.0,top
R17,117.30375,-90.2825,180.0,top
R18,12.30375,-12.2825,90.0,top
R19,9.05375,-12.2825,270.0,top
R2,71.19375,-91.1825,0.0,top
R3,80.70375,-83.2825,0.0,top
R4,67.79375,-91.1825,180.0,top
R5,80.70375,-88.3825,180.0,top
R6,65.70375,-88.9825,90.0,top
R7,73.80375,-79.4525,90.0,top
R8,74.29375,-91.1825,0.0,top
R9,22.50375,-86.2154,180.0,top
SW10,48.67045,-31.8492,270.0,top
SW11,67.70375,-29.6492,270.0,top
SW12,86.73705,-31.3158,270.0,top
SW13,105.77045,-36.5158,270.0,top
SW14,10.60375,-64.0242,90.0,top
SW15,29.63705,-53.8492,270.0,top
SW16,48.67045,-50.9158,270.0,top
SW17,67.70375,-48.7158,270.0,top
SW18,86.73705,-50.3492,270.0,top
SW19,105.77045,-55.5492,270.0,top
SW2,10.60375,-25.9066,270.0,top
SW20,10.60375,-83.0825,270.0,top
SW21,29.64375,-72.8825,270.0,top
SW22,48.68375,-69.9825,270.0,top
SW23,67.72375,-67.7825,270.0,top
SW24,86.76375,-69.3825,270.0,top
SW25,105.80375,-74.5825,270.0,top
SW26,124.80375,-25.1825,270.0,top
SW27,124.80375,-63.2825,270.0,top
SW28,124.80375,-44.2743,270.0,top
SW3,29.60375,-15.7825,270.0,top
SW4,48.60375,-12.7825,270.0,top
SW5,67.70375,-10.5825,270.0,top
SW6,86.70375,-12.2825,270.0,top
SW7,105.77045,-17.4825,270.0,top
SW8,10.60375,-44.9652,270.0,top
SW9,29.63705,-34.8158,270.0,top
U1,74.00375,-85.6158,90.0,top
U2,111.60375,-88.9158,180.0,top
U3,29.790325,-87.0594,90.0,top
U4,46.12875,-88.3208,270.0,top
USB1,10.91375,-0.1825,180.0,top
Y1,57.00375,-82.8825,0.0,top
